pub_title	source_url	raw_data_format	dataset_identifier	data_repository	dataset_context_from_paper	dataset_keywords	citation_type	dataset_webpage	access_mode
Hemispheric asymmetry of tau pathology is related to asymmetric amyloid deposition in Alzheimer’s Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/	XML		www.a4studydata.org	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Disease (A4) study was used as an independent replication cohort. Only A+T+ subjects with available Aβ-PET and tau-PET scans were included. A4 used [18F]florbetapir PET for Aβ imaging with ADNI-defined cut-off (SUVR > 1.11) and [18F]flortaucipir PET for tau imaging. The association between Aβ and tau laterality was replicated (n = 55; β = 0.714, p < 0.001).	asymptomatic Alzheimer's disease, amyloid-beta, tau, preclinical	Secondary		
Hemispheric asymmetry of tau pathology is related to asymmetric amyloid deposition in Alzheimer’s Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/	XML	ADNI	adni.loni.usc.edu	Alzheimer's Disease Neuroimaging Initiative (ADNI) was used as an independent replication cohort. Only A+T+ subjects with at least one Aβ-PET and one tau-PET scan available were selected. ADNI used [18F]florbetaben (SUVR > 1.08) and [18F]florbetapir (SUVR > 1.11) tracers for Aβ imaging and [18F]flortaucipir PET for tau imaging. The association between Aβ and tau laterality was replicated (n = 133; β = 0.534, p < 0.001).	Alzheimer's disease, neuroimaging, biomarkers, longitudinal	Secondary		
Association of plasma Alzheimer's disease biomarkers with cognitive decline in cognitively unimpaired individuals	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12397066/	XML	MCSA	www.mayo.edu	The Mayo Clinic Study of Aging (MCSA) is a longitudinal population-based study among individuals residing in Olmsted County, Minnesota, USA. A random set of individuals are invited to participate via age- and sex-based stratification. The study included 381 MCSA participants with median age 73 years. Participants underwent assessments at approximately 15-month intervals including neurological examination and neuropsychological evaluation. The study evaluated associations of plasma Alzheimer's disease biomarkers (p-tau217, Aβ42/40) and amyloid PET with transitions from cognitively unimpaired to mild cognitive impairment. 100 individuals progressed from CU to MCI with an overall rate of 2.4 events per 100 person-years.	Alzheimer's disease biomarkers, cognitive decline, amyloid PET	Primary		
Association of plasma Alzheimer's disease biomarkers with cognitive decline in cognitively unimpaired individuals	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12397066/	XML	BioFINDER-2	www.biofinder.se	BioFINDER-2 recruits cognitively unimpaired healthy controls from the Malmo Offspring study and the Malmo Diet and Cancer study and individuals with subjective cognitive decline (SCD), mild cognitive impairment (MCI), and dementia from memory clinics in Sweden. The study included 584 BioFINDER participants with median age 70 years, 55% females, and 50% APOE ε4 carriers. The cohort is enriched for APOE ε4 carriers with approximately 50% carrying at least one APOE ε4 allele. Participants underwent neurological examinations and neuropsychological evaluations annually or biennially. The study evaluated plasma biomarkers (mass spectrometry-based p-tau217, Aβ42/40) and amyloid PET for predicting progression from cognitively unimpaired to MCI. 90 individuals progressed to MCI with an overall rate of 4.5 events per 100 person-years.	plasma biomarkers, tau pathology, amyloid pathology	Primary		
Plasma tau biomarkers for biological staging of Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12618263/	XML	BioFINDER-2	biofinder.se	The BioFINDER-2 cohort included 549 individuals covering the whole AD continuum from preclinical disease to dementia. Cognitively unimpaired individuals were recruited from a population-based study in Malmö, Sweden. Patients with subjective cognitive decline, MCI and AD dementia were recruited from memory clinics. Plasma tau biomarkers were measured using targeted mass spectrometry. The study included longitudinal data on Aβ-PET (n=368), tau-PET (n=480) and cortical thickness (n=457). Blood samples were analyzed for six phosphorylated tau species (p-tau181, p-tau199, p-tau202, p-tau205, p-tau217 and p-tau231) and six nonphosphorylated tau peptides.	Alzheimer's disease, plasma tau biomarkers, longitudinal neuroimaging	Primary		
Plasma tau biomarkers for biological staging of Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12618263/	XML	TRIAD	triad.tnl-mcgill.com	The TRIAD cohort included 140 participants distributed across the AD continuum: 34 cognitively unimpaired Aβ negative, 25 cognitively unimpaired Aβ positive, 35 MCI Aβ positive and 28 AD dementia, while 7 exhibited other neurodegenerative diseases. Participants had clinical evaluations, plasma assessments and structural MRI, as well as amyloid-PET with [18F]AZD4694 and tau-PET with [18F]MK6240. Plasma tau biomarkers were measured using the same targeted mass spectrometry method as BioFINDER-2. The TRIAD cohort served as an independent validation cohort for the plasma staging model.	Alzheimer's disease, tau biomarkers, PET imaging validation	Secondary		
Olfactory dysfunction and amyloid-positivity in Parkinson’s disease—longitudinal analysis of cognitive decline and cerebrospinal fluid markers	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12370119/	XML	BioFINDER-1	biofinder.se	Participants were included from the Swedish BioFINDER-1 cohort (NCT01208675) at Lund University. Patients with PD and baseline olfactory function assessed using the Brief Smell Identification Test (B-SIT) were included. Clinical variables, CSF measures and disease status were assessed longitudinally for up to 11 years. A total of 172 patients with PD were included, 63 with normal olfactory function and 109 with hyposmia. Participants were followed longitudinally with yearly follow-ups for up to 4 years, and then biannually for up to 10 years, including cognitive testing and detailed physician assessments.	Parkinson's disease, olfactory function, cerebrospinal fluid biomarkers	Primary		
Proteomic signatures of the	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12340876/	XML	GNPC	www.neuroproteome.org	Global Neurodegeneration Proteomics Consortium (GNPC) cohort with N=4,045 participants (aged 20-90, median age 75), comprising 2,566 cognitively unimpaired individuals and 1,479 patients with AD dementia. Plasma proteomics profiled using SomaScan 7K platform quantifying 7,285 aptamers corresponding to 6,358 unique proteins. Used as discovery cohort to identify APOE4 and APOE2-associated proteins and map comprehensive APOE-protein network using mediation modeling to classify genotype-related signals as upstream mediators, downstream consequences, or APOE-specific changes.	plasma proteomics, APOE variants, Alzheimer's disease	Secondary		
Proteomic signatures of the	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12340876/	XML	BioFINDER-2	biofinder.se	Swedish BioFINDER-2 study (NCT03174938) with 1,421 participants (aged 20-93, median age 72) including 846 cognitively unimpaired, 316 mild cognitive impairment, and 259 AD dementia individuals. Plasma SomaLogic proteomics with detailed AD phenotyping including CSF Aβ42/Aβ40 ratio and Aβ PET. Used to validate plasma proteomics findings and explore APOE-protein-Aβ associations with 715 Aβ- and 706 Aβ+ individuals. Also includes CSF OLINK proteomics data from 1,475 individuals for cross-platform validation.	plasma and CSF proteomics, amyloid-beta biomarkers, cognitive phenotyping	Secondary		
Proteomic signatures of the	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12340876/	XML	ADNI	adni.loni.usc.edu	Alzheimer's Disease Neuroimaging Initiative (ADNI) multisite longitudinal study with 666 cognitively unimpaired, mild cognitive impairment, and AD dementia individuals with APOE genotyping and CSF proteomic profiles measured using SomaScan 7K platform (v4.1). Aβ status defined using Aβ-PET. Used to validate APOE-protein profiles in CSF and proteins mediating APOE's effect on Aβ pathology, with 7,001 quantified proteins after excluding APOE itself.	CSF proteomics, amyloid-PET imaging, neuroimaging biomarkers	Secondary		
Proteomic signatures of the	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12340876/	XML		www.ukbiobank.ac.uk	UK Biobank large-scale multicenter prospective cohort study with approximately 500,000 participants aged 40-69 years enrolled 2006-2010. For this study, 4,820 participants with genotype data and plasma protein levels measured using OLINK Explore 3072 platform were included, resulting in 1,319 proteins after quality control. Used to validate and compare APOE-associated protein profiles across tissues and proteomics platforms.	plasma proteomics OLINK, large population cohort, genetic variants	Secondary		
Proteomic signatures of the	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12340876/	XML	PPMI	www.ppmi-info.org	Parkinson's Progression Markers Initiative (PPMI) ongoing international observational study with approximately 4,000 participants including healthy controls, de novo Parkinson's disease patients, prodromal individuals, and non-manifesting carriers of LRRK2 and GBA mutations. For this study, 260 participants (74 PD patients, 56 prodromal, 130 healthy controls) with available CSF proteomics data from OLINK Explore platform were included, resulting in 826 proteins after quality control. Used to explore longitudinal APOE-protein associations with linear mixed-effects models examining APOE*time interactions.	longitudinal CSF proteomics, Parkinson's disease, temporal stability	Secondary		
Proteomic signatures of the	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12340876/	XML	GCST002245	www.ebi.ac.uk	External GWAS data from GCST002245 study used to identify SNPs associated with AD in coding genes of mediator proteins. Of 33 proteins identified as mediators of APOE4's effect on AD in GNPC, BioFINDER-2 or ADNI, 20 had coding genes harboring AD-associated SNPs. Among 71 APOE2 mediator proteins, 35 had AD-associated SNPs.	genome-wide association study, Alzheimer's disease SNPs, genetic variants	Secondary	https://www.ebi.ac.uk/pride/archive/projects/GCST002245	Complex download
Proteomic signatures of the	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12340876/	XML	GCST90129599	www.ebi.ac.uk	External GWAS data from GCST90129599 study used to identify SNPs associated with CSF Aβ42 levels. Based on this study, 17 of 26 APOE4 mediators of Aβ pathology and all 4 APOE2 mediators of Aβ pathology had SNPs associated with CSF Aβ42 levels. Among 6 key proteins mediating APOE4's effect on AD diagnosis or Aβ pathology in at least two datasets, 4 (S100A13, SPC25, TBCA, CTF1) had coding variants linked to Aβ42 or AD.	genome-wide association study, cerebrospinal fluid biomarkers, amyloid-beta	Secondary	https://www.ebi.ac.uk/pride/archive/projects/GCST90129599	Complex download
Proteomic signatures of the	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12340876/	XML		human.brain-map.org	Allen Human Brain Atlas transcriptomic data from 6 post-mortem brains used for regional gene expression analysis. APOE-protein spatial co-expression was validated using this data with Schaefer atlas 200 parcels. Among 368 APOE4-associated proteins with available expression data, 170 (46%) showed significant spatial correlation with APOE. Of 166 APOE2-associated proteins, 70 (42%) showed spatial correlation with APOE.	brain transcriptomics, spatial gene expression, post-mortem tissue	Secondary		
Clinical Performance of the Elecsys CSF pTau	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12450182/	XML	ADNI-2/3	adni.loni.usc.edu	The Alzheimer's Disease Neuroimaging Initiative-2/3 (ADNI-2/3) database was used for cutoff determination. A total of 1921 subjects were enrolled between 2016 and 2022, of whom 483 were cognitively unimpaired, 1001 were living with MCI, and 437 had been diagnosed with dementia due to AD. The primary population for cutoff determination included 133 subjects (ADNI-2: n=11; ADNI-3: n=122) with clinical diagnosis of MCI (n=104; 78.2%) or dementia due to AD (n=29; 21.8%), available Elecsys CSF pTau181 and Aβ42 measurements, and available tau-PET scans. Raw FTP tau-PET images were obtained from the ADNI database and blindly visually evaluated per manufacturer's indication to provide binary outcome.	Alzheimer's disease, cerebrospinal fluid biomarkers, tau-PET imaging	Secondary		
